home_team,away_team,home_goals,away_goals,actual_outcome,league,date,season,B365H,B365D,B365A
Dortmund,Brentford,0,0,D,European Football,2023-08-11,2023-2024,2.32,3.44,3.14
Barcelona,Bournemouth,2,0,H,European Football,2023-08-12,2023-2024,1.48,3.43,5.31
Barcelona,Crystal Palace,2,2,D,European Football,2023-08-13,2023-2024,2.52,3.27,2.71
Arsenal,PSG,3,2,H,Premier League,2023-08-14,2023-2024,1.71,3.36,6.37
Manchester City,Brentford,0,0,D,Premier League,2023-08-15,2023-2024,2.95,3.36,3.29
Juventus,Tottenham,1,4,A,European Football,2023-08-16,2023-2024,3.63,3.64,2.35
Bayern Munich,Manchester United,2,2,D,European Football,2023-08-17,2023-2024,2.15,3.14,2.72
Bournemouth,Everton,3,1,H,Premier League,2023-08-18,2023-2024,1.81,4.03,3.99
Manchester United,Crystal Palace,2,2,D,Premier League,2023-08-19,2023-2024,2.78,3.04,3.1
Barcelona,Juventus,1,1,D,European Football,2023-08-20,2023-2024,2.37,3.56,3.16
Everton,Inter,1,2,A,Premier League,2023-08-21,2023-2024,2.92,3.86,2.32
Newcastle,Fulham,0,3,A,Premier League,2023-08-22,2023-2024,4.05,3.77,1.79
West Ham,Newcastle,3,1,H,Premier League,2023-08-23,2023-2024,1.53,3.34,5.73
Barcelona,Fulham,2,1,H,European Football,2023-08-24,2023-2024,1.93,3.56,6.49
Brighton,Real Madrid,1,2,A,Premier League,2023-08-25,2023-2024,4.69,3.32,1.74
Inter,Nottingham Forest,2,1,H,European Football,2023-08-26,2023-2024,1.94,3.67,4.25
Barcelona,Arsenal,2,0,H,European Football,2023-08-27,2023-2024,2.2,3.95,5.81
Manchester City,Brentford,1,0,H,Premier League,2023-08-28,2023-2024,1.4,3.92,5.66
Real Madrid,PSG,0,3,A,European Football,2023-08-29,2023-2024,4.72,3.44,2.18
Bayern Munich,Crystal Palace,0,2,A,European Football,2023-08-30,2023-2024,3.99,3.82,2.08
Arsenal,Bayern Munich,1,0,H,Premier League,2023-08-31,2023-2024,2.24,4.08,5.99
Liverpool,Everton,0,3,A,Premier League,2023-09-01,2023-2024,4.88,3.27,2.04
